측정시간,온도_섭씨,압력_Pa,가스유량_slm,전력_W,진공도_mTorr,두께_nm,합격여부
2024-05-01 12:00,304.4246,1007.9539,49.7231,1979.6766,4.3765,100.0201,1
2024-05-01 23:00,296.9663,1015.8052,50.0544,,4.9682,102.6425,1
2024-05-02 09:00,301.0455,1015.5117,52.1695,2203.0878,5.8511,114.6873,0
2024-05-02 20:00,298.8928,1000.6115,48.4666,1994.5588,4.9077,99.2468,1
2024-05-03 03:00,300.176,1014.6082,49.4435,1952.8872,5.5004,99.4046,1
2024-05-03 12:00,306.8995,1004.5041,49.1444,2040.8535,4.8662,99.2715,1
2024-05-03 15:00,293.2651,1010.1722,49.9336,1999.8076,4.9733,100.3544,1
2024-05-03 21:00,305.4628,1002.2706,49.7557,2009.6944,5.5237,96.6382,1
2024-05-03 23:00,299.1651,997.5462,52.4435,1994.8974,5.31,102.0865,1
2024-05-04 08:00,302.4906,1023.4927,45.9509,,5.454,98.5505,1
2024-05-04 12:00,299.0688,1005.163,49.0864,1974.4334,,98.7073,1
2024-05-04 16:00,300.5753,1022.0727,48.7706,1988.5699,5.0214,100.7541,1
2024-05-05 03:00,301.3932,1015.2155,51.7566,2005.2691,4.7586,99.8565,1
2024-05-05 11:00,300.4748,,52.3915,1984.6142,4.482,100.5988,1
2024-05-05 18:00,300.6606,1017.7825,48.0946,2013.2195,4.5255,100.6649,1
2024-05-06 05:00,296.7129,1003.3411,52.997,2017.9994,5.0451,99.0861,1
2024-05-06 09:00,301.6014,1023.1356,48.5747,2011.4267,5.0008,104.532,1
2024-05-06 17:00,306.9565,1006.1935,51.1576,2154.1573,6.2307,104.0049,0
2024-05-06 22:00,306.2803,,49.3215,2045.202,4.9359,96.5282,1
2024-05-07 09:00,299.5425,1008.8828,48.4771,2075.5919,4.6704,98.8069,1
2024-05-07 15:00,304.9609,1018.191,46.0861,1998.9485,5.4195,104.2531,1
2024-05-07 17:00,300.8961,,53.6218,2024.7195,4.4117,102.7096,1
2024-05-08 03:00,300.1278,1026.0893,48.4746,1978.6798,4.6844,98.7791,1
2024-05-08 08:00,303.9202,1023.4974,45.5649,2207.5396,3.9575,114.8411,0
2024-05-08 17:00,300.7205,1020.877,53.7681,1974.8037,5.2091,98.6786,1
2024-05-08 20:00,295.3656,1018.2667,48.1384,2081.53,5.1292,97.7022,1
2024-05-09 07:00,301.3809,1007.0729,47.5515,1939.3086,5.0988,100.7401,1
2024-05-09 09:00,299.8893,1008.7743,49.7274,2020.224,4.7479,102.5456,1
2024-05-09 14:00,300.5744,1011.6263,49.4692,2206.9284,6.5815,112.3065,0
2024-05-09 23:00,303.742,1015.9392,47.9945,1989.6952,5.2759,100.4949,1
2024-05-10 00:00,302.2114,1010.3333,50.0028,2013.9729,5.1172,95.9217,1
2024-05-10 07:00,306.5657,1011.5494,51.3131,1990.0832,5.2812,103.059,1
2024-05-10 10:00,300.6587,1012.6328,49.8485,,5.4899,,1
2024-05-10 14:00,299.2581,1029.7488,53.1564,2038.2231,5.1342,98.8989,1
2024-05-10 22:00,295.655,1027.5168,50.981,1984.5896,4.838,98.2972,1
2024-05-11 03:00,306.8741,996.3121,49.4787,2042.2522,4.317,103.3222,1
2024-05-11 12:00,305.2347,1016.887,53.7662,2149.0373,6.963,,0
2024-05-11 18:00,291.1403,1023.1827,52.455,1979.9866,4.9199,,1
2024-05-11 23:00,294.0749,,48.576,2041.1613,4.8155,,1
2024-05-12 10:00,305.5988,1009.0457,52.2655,1976.2144,4.881,102.3922,1
2024-05-12 11:00,299.0875,1019.8317,50.6087,1960.0477,4.8579,101.9409,1
2024-05-12 22:00,301.0239,1023.9257,52.9006,1968.8792,5.0611,100.737,1
2024-05-13 07:00,297.1359,1003.2805,54.1043,2040.9336,5.0246,101.7166,1
2024-05-13 11:00,300.7397,1016.2125,52.7354,1995.8445,5.0383,97.8099,1
